Freq	dB	Phase
20.0000	47.5974	172.7869
20.1912	47.7619	172.7094
20.3842	47.9264	172.6312
20.5790	48.0908	172.5525
20.7757	48.2553	172.4730
20.9743	48.4197	172.3930
21.1748	48.5842	172.3122
21.3772	48.7487	172.2309
21.5815	48.9131	172.1489
21.7878	49.0776	172.0663
21.9960	49.2420	171.9830
22.2063	49.4065	171.8991
22.4185	49.5710	171.8146
22.6328	49.7354	171.7294
22.8492	49.8999	171.6437
23.0676	50.0643	171.5573
23.2881	50.2288	171.4704
23.5107	50.3933	171.3830
23.7354	50.5577	171.2951
23.9623	50.7222	171.2067
24.1913	50.8866	171.1181
24.4225	51.0511	171.0295
24.6560	51.2156	170.9415
24.8916	51.3800	170.8686
25.1296	51.5463	170.8103
25.3698	51.7150	170.6815
25.6123	51.8774	170.5431
25.8571	52.0413	170.4658
26.1042	52.2064	170.3875
26.3537	52.3728	170.2583
26.6056	52.5344	170.1315
26.8599	52.6974	170.0607
27.1167	52.8620	169.9928
27.3759	53.0282	169.9227
27.6375	53.1961	169.7927
27.9017	53.3588	169.6623
28.1684	53.5237	169.5621
28.4377	53.6869	169.4792
28.7095	53.8542	169.3682
28.9839	54.0166	169.2355
29.2609	54.1804	169.1562
29.5406	54.3458	169.0764
29.8230	54.5126	168.9526
30.1080	54.6758	168.8269
30.3958	54.8404	168.7405
30.6864	55.0065	168.6221
30.9797	55.1700	168.4844
31.2758	55.3327	168.3827
31.5747	55.4969	168.3035
31.8765	55.6627	168.2135
32.1812	55.8290	168.0984
32.4888	55.9940	167.9768
32.7994	56.1592	167.8474
33.1129	56.3223	167.7452
33.4294	56.4887	167.6462
33.7489	56.6536	167.5217
34.0715	56.8189	167.3831
34.3972	56.9808	167.2790
34.7260	57.1474	167.1885
35.0579	57.3122	167.0560
35.3930	57.4765	166.9348
35.7313	57.6407	166.8194
36.0728	57.8049	166.7178
36.4176	57.9706	166.5915
36.7657	58.1331	166.4929
37.1171	58.3007	166.3803
37.4719	58.4634	166.2399
37.8301	58.6276	166.1351
38.1917	58.7912	166.0349
38.5567	58.9563	165.9533
38.9253	59.1230	165.8358
39.2973	59.2870	165.7033
39.6730	59.4508	165.6187
40.0522	59.6175	165.5131
40.4350	59.7811	165.3965
40.8215	59.9463	165.2915
41.2117	60.1092	165.2178
41.6056	60.2771	165.1157
42.0033	60.4387	165.0199
42.4048	60.6055	164.9702
42.8101	60.7709	164.9067
43.2193	60.9389	164.8549
43.6324	61.1066	164.8003
44.0495	61.2758	164.7788
44.4705	61.4484	164.7376
44.8956	61.6197	164.6974
45.3247	61.7942	164.6778
45.7579	61.9701	164.6378
46.1953	62.1465	164.6163
46.6369	62.3266	164.5765
47.0826	62.5052	164.5289
47.5327	62.6868	164.5159
47.9870	62.8715	164.4665
48.4457	63.0551	164.3953
48.9087	63.2398	164.3330
49.3762	63.4246	164.2890
49.8482	63.6126	164.2702
50.3247	63.8042	164.2122
50.8057	63.9947	164.1185
51.2913	64.1849	164.0872
51.7816	64.3821	164.0205
52.2765	64.5749	163.9399
52.7762	64.7734	163.9115
53.2807	64.9744	163.8551
53.7899	65.1783	163.7778
54.3041	65.3837	163.6607
54.8231	65.5884	163.5581
55.3472	65.7974	163.4685
55.8762	66.0086	163.3417
56.4103	66.2209	163.1930
56.9495	66.4343	163.0708
57.4938	66.6539	162.8968
58.0434	66.8702	162.6817
58.5982	67.0897	162.5080
59.1583	67.3133	162.2835
59.7237	67.5362	162.0090
60.2946	67.7598	161.7210
60.8709	67.9837	161.4243
61.4528	68.2098	161.0900
62.0401	68.4345	160.7190
62.6331	68.6598	160.3197
63.2318	68.8831	159.8714
63.8362	69.1033	159.4496
64.4464	69.3269	158.9981
65.0624	69.5457	158.5153
65.6843	69.7659	158.0443
66.3121	69.9843	157.5601
66.9460	70.2040	157.0632
67.5859	70.4219	156.5620
68.2319	70.6422	156.0469
68.8841	70.8610	155.4953
69.5425	71.0794	154.9460
70.2072	71.2987	154.3760
70.8783	71.5169	153.7950
71.5558	71.7368	153.1908
72.2397	71.9551	152.5581
72.9302	72.1738	151.9124
73.6273	72.3921	151.2246
74.3311	72.6081	150.5280
75.0416	72.8253	149.8044
