Freq	dB	Phase
20.0000	41.0949	172.7307
20.1912	41.2577	172.6647
20.3842	41.4207	172.5981
20.5790	41.5836	172.5308
20.7757	41.7468	172.4629
20.9743	41.9097	172.3943
21.1748	42.0727	172.3251
21.3772	42.2357	172.2553
21.5815	42.3986	172.1848
21.7878	42.5615	172.1136
21.9960	42.7246	172.0417
22.2063	42.8878	171.9691
22.4185	43.0507	171.8959
22.6328	43.2136	171.8219
22.8492	43.3764	171.7473
23.0676	43.5395	171.6719
23.2881	43.7026	171.5959
23.5107	43.8656	171.5191
23.7354	44.0285	171.4415
23.9622	44.1914	171.3633
24.1913	44.3544	171.2842
24.4225	44.5173	171.2045
24.6560	44.6805	171.1240
24.8916	44.8434	171.0427
25.1296	45.0065	170.9606
25.3698	45.1694	170.8777
25.6123	45.3324	170.7941
25.8571	45.4954	170.7097
26.1042	45.6583	170.6244
26.3537	45.8212	170.5383
26.6056	45.9843	170.4515
26.8599	46.1471	170.3637
27.1167	46.3102	170.2752
27.3759	46.4733	170.1858
27.6375	46.6362	170.0955
27.9017	46.7992	170.0044
28.1684	46.9622	169.9124
28.4377	47.1251	169.8196
28.7095	47.2880	169.7258
28.9839	47.4511	169.6312
29.2609	47.6140	169.5356
29.5406	47.7771	169.4391
29.8230	47.9400	169.3418
30.1080	48.1030	169.2434
30.3958	48.2660	169.1442
30.6864	48.4290	169.0439
30.9797	48.5920	168.9428
31.2758	48.7549	168.8406
31.5747	48.9178	168.7375
31.8765	49.0809	168.6334
32.1812	49.2439	168.5282
32.4888	49.4069	168.4221
32.7994	49.5699	168.3150
33.1129	49.7329	168.2068
33.4294	49.8958	168.0976
33.7489	50.0588	167.9873
34.0715	50.2218	167.8760
34.3972	50.3847	167.7636
34.7260	50.5477	167.6501
35.0579	50.7107	167.5356
35.3930	50.8737	167.4199
35.7313	51.0367	167.3031
36.0728	51.1997	167.1852
36.4176	51.3626	167.0662
36.7657	51.5256	166.9460
37.1171	51.6886	166.8247
37.4719	51.8515	166.7022
37.8301	52.0146	166.5785
38.1917	52.1776	166.4537
38.5567	52.3405	166.3276
38.9253	52.5035	166.2003
39.2973	52.6664	166.0718
39.6730	52.8295	165.9420
40.0522	52.9924	165.8110
40.4350	53.1555	165.6787
40.8215	53.3184	165.5452
41.2117	53.4814	165.4103
41.6056	53.6444	165.2742
42.0033	53.8074	165.1368
42.4048	53.9704	164.9980
42.8101	54.1333	164.8578
43.2193	54.2963	164.7164
43.6324	54.4593	164.5735
44.0495	54.6223	164.4293
44.4705	54.7852	164.2837
44.8956	54.9482	164.1367
45.3247	55.1112	163.9882
45.7579	55.2742	163.8383
46.1953	55.4372	163.6870
46.6368	55.6002	163.5342
47.0826	55.7632	163.3799
47.5327	55.9261	163.2241
47.9870	56.0891	163.0668
48.4457	56.2521	162.9080
48.9087	56.4151	162.7477
49.3762	56.5780	162.5858
49.8482	56.7410	162.4223
50.3247	56.9040	162.2572
50.8057	57.0670	162.0906
51.2913	57.2300	161.9223
51.7816	57.3929	161.7524
52.2765	57.5559	161.5808
52.7762	57.7189	161.4076
53.2807	57.8819	161.2327
53.7899	58.0449	161.0561
54.3041	58.2079	160.8778
54.8231	58.3708	160.6978
55.3472	58.5338	160.5160
55.8762	58.6968	160.3324
56.4103	58.8597	160.1470
56.9495	59.0228	159.9599
57.4938	59.1857	159.7709
58.0434	59.3487	159.5801
58.5982	59.5117	159.3875
59.1583	59.6747	159.1930
59.7237	59.8377	158.9965
60.2946	60.0007	158.7982
60.8709	60.1636	158.5980
61.4527	60.3266	158.3958
62.0401	60.4896	158.1916
62.6331	60.6526	157.9855
63.2318	60.8155	157.7774
63.8362	60.9785	157.5672
64.4464	61.1415	157.3550
65.0624	61.3045	157.1408
65.6843	61.4675	156.9245
66.3121	61.6304	156.7061
66.9460	61.7934	156.4856
67.5859	61.9564	156.2629
68.2319	62.1194	156.0381
68.8841	62.2824	155.8112
69.5425	62.4454	155.5820
70.2072	62.6084	155.3507
70.8783	62.7713	155.1171
71.5558	62.9343	154.8813
72.2397	63.0973	154.6433
72.9302	63.2602	154.4030
73.6273	63.4232	154.1603
74.3311	63.5862	153.9154
75.0416	63.7492	153.6682
75.7588	63.9122	153.4186
76.4830	64.0752	153.1667
77.2140	64.2382	152.9125
77.9521	64.4011	152.6558
78.6972	64.5641	152.3968
79.4494	64.7271	152.1354
80.2088	64.8901	151.8716
80.9755	65.0531	151.6055
81.7495	65.2160	151.3369
82.5308	65.3790	151.0659
83.3197	65.5420	150.7925
84.1161	65.7050	150.5168
84.9201	65.8680	150.2386
85.7318	66.0309	149.9582
86.5513	66.1939	149.6754
87.3786	66.3569	149.3903
88.2138	66.5199	149.1030
89.0570	66.6829	148.8135
89.9082	66.8459	148.5219
90.7676	67.0088	148.2284
91.6352	67.1718	147.9329
92.5111	67.3348	147.6358
93.3953	67.4978	147.3373
94.2880	67.6608	147.0379
95.1893	67.8237	146.7399
96.0991	67.9870	146.4458
97.0177	68.1507	146.1533
97.9450	68.3149	145.8602
98.8812	68.4797	145.5664
99.8264	68.6451	145.2722
100.7806	68.8111	144.9771
101.7439	68.9779	144.6805
102.7164	69.1455	144.3819
103.6982	69.3138	144.0809
104.6894	69.4831	143.7768
105.6900	69.6532	143.4685
106.7003	69.8243	143.1556
107.7202	69.9964	142.8377
108.7498	70.1694	142.5131
109.7893	70.3433	142.1813
110.8387	70.5182	141.8417
111.8981	70.6940	141.4929
112.9677	70.8706	141.1347
114.0475	71.0481	140.7665
115.1376	71.2262	140.3873
116.2381	71.4051	139.9968
117.3492	71.5846	139.5945
118.4708	71.7647	139.1801
119.6032	71.9453	138.7529
120.7465	72.1262	138.3133
121.9006	72.3076	137.8607
123.0658	72.4894	137.3948
124.2421	72.6714	136.9156
125.4296	72.8536	136.4229
126.6286	73.0360	135.9166
127.8389	73.2186	135.3962
129.0609	73.4013	134.8613
