Freq	dB	Phase
200.0000	67.5858	167.7239
201.3306	67.7006	167.6324
202.6701	67.8152	167.5414
204.0186	67.9302	167.4534
205.3759	68.0452	167.3570
206.7423	68.1599	167.2566
208.1178	68.2744	167.1635
209.5025	68.3893	167.0737
210.8964	68.5042	166.9760
212.2995	68.6189	166.8743
213.7120	68.7334	166.7793
215.1339	68.8483	166.6875
216.5652	68.9632	166.5877
218.0060	69.0779	166.4835
219.4565	69.1924	166.3854
220.9166	69.3072	166.2903
222.3864	69.4220	166.1873
223.8660	69.5366	166.0805
225.3554	69.6510	165.9727
226.8547	69.7652	165.8639
228.3641	69.8792	165.7557
229.8834	69.9930	165.6551
231.4129	70.1070	165.5544
232.9525	70.2209	165.4465
234.5024	70.3346	165.3376
236.0626	70.4480	165.2291
237.6332	70.5613	165.1214
239.2142	70.6743	165.0147
240.8057	70.7871	164.9100
242.4079	70.8998	164.8151
244.0207	71.0128	164.7161
245.6442	71.1253	164.6122
247.2785	71.2378	164.5213
248.9237	71.3506	164.4252
250.5799	71.4629	164.3324
252.2470	71.5755	164.2500
253.9253	71.6882	164.1603
255.6147	71.8007	164.0812
257.3154	71.9138	164.0057
259.0273	72.0268	163.9264
260.7507	72.1400	163.8605
262.4855	72.2539	163.7916
264.2319	72.3676	163.7192
265.9899	72.4817	163.6559
267.7596	72.5962	163.5966
269.5411	72.7112	163.5399
271.3344	72.8266	163.4856
273.1396	72.9425	163.4333
274.9569	73.0589	163.3827
276.7862	73.1760	163.3261
278.6277	73.2931	163.2741
280.4815	73.4110	163.2312
282.3476	73.5297	163.1793
284.2261	73.6485	163.1190
286.1172	73.7675	163.0676
288.0208	73.8873	163.0248
289.9370	74.0078	162.9720
291.8660	74.1285	162.9169
293.8079	74.2498	162.8673
295.7627	74.3716	162.8152
297.7304	74.4939	162.7556
299.7113	74.6163	162.6973
301.7054	74.7393	162.6390
303.7127	74.8625	162.5774
305.7333	74.9860	162.5273
307.7674	75.1106	162.4678
309.8151	75.2349	162.3983
311.8764	75.3595	162.3408
313.9513	75.4847	162.2885
316.0401	75.6106	162.2322
318.1428	75.7368	162.1759
320.2595	75.8636	162.1256
322.3902	75.9911	162.0728
324.5352	76.1190	162.0240
326.6944	76.2479	161.9800
328.8679	76.3776	161.9323
331.0560	76.5081	161.8833
333.2586	76.6392	161.8411
335.4758	76.7715	161.8026
337.7078	76.9049	161.7588
339.9546	77.0392	161.7115
342.2164	77.1744	161.6683
344.4933	77.3110	161.6257
346.7853	77.4487	161.5747
349.0925	77.5874	161.5178
351.4151	77.7271	161.4554
353.7531	77.8677	161.3911
356.1067	78.0094	161.3260
358.4760	78.1523	161.2513
360.8610	78.2961	161.1649
363.2619	78.4407	161.0704
365.6788	78.5860	160.9679
368.1117	78.7320	160.8575
370.5608	78.8787	160.7389
373.0263	79.0259	160.6119
375.5081	79.1736	160.4769
378.0064	79.3219	160.3331
380.5214	79.4705	160.1870
383.0531	79.6199	160.0335
385.6016	79.7696	159.8624
388.1671	79.9194	159.6842
390.7497	80.0694	159.5037
393.3494	80.2198	159.3172
395.9665	80.3704	159.1248
398.6009	80.5214	158.9277
401.2529	80.6727	158.7211
403.9225	80.8240	158.5063
406.6099	80.9756	158.2918
409.3152	81.1275	158.0830
412.0384	81.2803	157.8622
414.7798	81.4331	157.6280
417.5394	81.5861	157.4034
420.3174	81.7401	157.1729
423.1139	81.8944	156.9342
425.9289	82.0494	156.6951
428.7627	82.2050	156.4474
431.6154	82.3611	156.2044
434.4870	82.5186	155.9548
437.3778	82.6765	155.6878
440.2877	82.8350	155.4215
443.2171	82.9945	155.1548
446.1659	83.1552	154.8767
449.1343	83.3166	154.5862
452.1225	83.4788	154.2903
455.1306	83.6422	153.9822
458.1587	83.8062	153.6567
461.2069	83.9708	153.3199
464.2754	84.1361	152.9762
467.3643	84.3024	152.6102
470.4738	84.4686	152.2301
473.6040	84.6357	151.8455
476.7550	84.8033	151.4334
479.9269	84.9708	151.0051
483.1200	85.1387	150.5665
486.3343	85.3067	150.1064
489.5700	85.4746	149.6287
492.8272	85.6423	149.1345
496.1061	85.8097	148.6242
499.4068	85.9769	148.0984
502.7295	86.1437	147.5576
506.0742	86.3100	147.0020
509.4413	86.4759	146.4316
512.8307	86.6413	145.8472
516.2427	86.8062	145.2490
519.6773	86.9705	144.6371
523.1349	87.1342	144.0122
526.6154	87.2973	143.3733
530.1191	87.4599	142.7158
533.6461	87.6214	142.0503
537.1965	87.7827	141.3753
540.7706	87.9432	140.6793
544.3685	88.1029	139.9711
547.9903	88.2620	139.2480
551.6362	88.4201	138.5082
555.3064	88.5773	137.7575
559.0009	88.7337	136.9940
562.7201	88.8893	136.2114
566.4640	89.0438	135.4111
570.2328	89.1972	134.5978
574.0267	89.3495	133.7665
577.8458	89.5005	132.9154
581.6904	89.6501	132.0492
585.5605	89.7982	131.1702
589.4563	89.9451	130.2770
593.3781	90.0905	129.3603
597.3260	90.2340	128.4223
601.3001	90.3756	127.4731
605.3007	90.5154	126.5067
609.3279	90.6532	125.5240
613.3819	90.7890	124.5249
617.4629	90.9225	123.5045
621.5710	91.0534	122.4688
625.7064	91.1819	121.4238
629.8694	91.3080	120.3652
634.0601	91.4315	119.2884
638.2786	91.5522	118.2025
642.5252	91.6703	117.1051
646.8001	91.7855	115.9938
651.1034	91.8977	114.8769
655.4353	92.0072	113.7494
659.7961	92.1136	112.6094
664.1858	92.2169	111.4642
668.6048	92.3171	110.3178
673.0532	92.4145	109.1646
677.5312	92.5087	108.0054
682.0389	92.5999	106.8449
686.5767	92.6880	105.6810
691.1446	92.7731	104.5172
695.7430	92.8552	103.3556
700.3719	92.9345	102.1947
705.0316	93.0109	101.0339
709.7223	93.0845	99.8746
714.4443	93.1552	98.7197
719.1976	93.2233	97.5693
723.9826	93.2888	96.4214
728.7994	93.3516	95.2769
733.6483	93.4119	94.1369
738.5294	93.4698	93.0012
743.4430	93.5252	91.8696
748.3893	93.5781	90.7431
753.3685	93.6288	89.6213
758.3808	93.6771	88.5021
763.4265	93.7231	87.3857
768.5058	93.7666	86.2745
773.6188	93.8078	85.1687
778.7659	93.8467	84.0667
783.9472	93.8833	82.9704
789.1629	93.9175	81.8806
794.4134	93.9495	80.7970
799.6988	93.9793	79.7199
805.0194	94.0068	78.6506
810.3754	94.0321	77.5881
815.7670	94.0552	76.5330
821.1944	94.0762	75.4870
826.6580	94.0951	74.4489
832.1580	94.1118	73.4204
837.6945	94.1266	72.4031
843.2679	94.1393	71.3966
848.8783	94.1501	70.4024
854.5261	94.1592	69.4214
860.2114	94.1665	68.4541
865.9346	94.1723	67.5003
871.6959	94.1766	66.5598
877.4955	94.1795	65.6329
883.3336	94.1811	64.7197
889.2106	94.1815	63.8196
895.1268	94.1808	62.9323
901.0822	94.1791	62.0578
907.0773	94.1764	61.1961
913.1123	94.1729	60.3466
919.1875	94.1686	59.5088
925.3030	94.1635	58.6827
931.4593	94.1577	57.8678
937.6565	94.1513	57.0630
943.8949	94.1444	56.2674
950.1748	94.1368	55.4807
956.4966	94.1287	54.7025
962.8603	94.1201	53.9321
969.2665	94.1108	53.1693
975.7152	94.1011	52.4141
982.2069	94.0908	51.6667
988.7417	94.0800	50.9263
995.3200	94.0686	50.1924
1001.9420	94.0568	49.4650
1008.6080	94.0443	48.7435
1015.3190	94.0314	48.0274
1022.0740	94.0178	47.3169
1028.8740	94.0037	46.6115
1035.7190	93.9889	45.9103
1042.6100	93.9734	45.2137
1049.5470	93.9572	44.5218
1056.5300	93.9402	43.8353
1063.5590	93.9224	43.1552
1070.6350	93.9038	42.4819
1077.7580	93.8844	41.8164
1084.9290	93.8643	41.1594
1092.1470	93.8434	40.5113
1099.4130	93.8219	39.8724
1106.7280	93.7998	39.2428
1114.0910	93.7772	38.6218
1121.5040	93.7539	38.0094
1128.9650	93.7302	37.4061
1136.4770	93.7060	36.8111
1144.0380	93.6814	36.2249
1151.6490	93.6563	35.6481
1159.3120	93.6308	35.0802
1167.0250	93.6049	34.5226
1174.7890	93.5788	33.9766
1182.6050	93.5526	33.4412
1190.4730	93.5262	32.9161
1198.3940	93.4999	32.4003
1206.3670	93.4737	31.8926
1214.3930	93.4475	31.3912
1222.4730	93.4213	30.8948
1230.6060	93.3952	30.4031
1238.7940	93.3690	29.9156
1247.0360	93.3427	29.4320
1255.3330	93.3162	28.9526
1263.6850	93.2897	28.4774
1272.0920	93.2628	28.0060
1280.5560	93.2358	27.5389
1289.0750	93.2085	27.0772
1297.6520	93.1809	26.6199
1306.2860	93.1530	26.1668
1314.9770	93.1247	25.7187
1323.7250	93.0962	25.2752
1332.5320	93.0672	24.8361
1341.3980	93.0377	24.4019
1350.3230	93.0078	23.9736
1359.3070	92.9773	23.5527
1368.3500	92.9464	23.1406
1377.4540	92.9151	22.7386
1386.6190	92.8834	22.3472
1395.8440	92.8516	21.9665
1405.1310	92.8195	21.5974
1414.4800	92.7874	21.2397
1423.8910	92.7552	20.8928
1433.3640	92.7232	20.5569
1442.9010	92.6912	20.2317
1452.5010	92.6595	19.9172
1462.1640	92.6280	19.6133
1471.8920	92.5968	19.3203
1481.6850	92.5660	19.0383
1491.5430	92.5357	18.7673
1501.4670	92.5059	18.5070
1511.4560	92.4767	18.2570
1521.5130	92.4483	18.0166
1531.6350	92.4206	17.7850
1541.8260	92.3938	17.5616
1552.0840	92.3678	17.3451
1562.4100	92.3426	17.1345
1572.8050	92.3183	16.9295
1583.2700	92.2948	16.7296
1593.8030	92.2721	16.5349
1604.4070	92.2503	16.3455
1615.0820	92.2294	16.1614
1625.8270	92.2093	15.9824
1636.6440	92.1902	15.8079
1647.5330	92.1721	15.6374
1658.4950	92.1549	15.4704
1669.5290	92.1386	15.3057
1680.6370	92.1233	15.1425
1691.8180	92.1090	14.9791
1703.0740	92.0954	14.8147
1714.4050	92.0826	14.6498
1725.8120	92.0705	14.4846
1737.2940	92.0590	14.3199
1748.8520	92.0482	14.1565
1760.4880	92.0381	13.9942
1772.2010	92.0286	13.8328
1783.9920	92.0197	13.6720
1795.8610	92.0114	13.5119
1807.8090	92.0038	13.3526
1819.8370	91.9968	13.1939
1831.9450	91.9904	13.0362
1844.1330	91.9846	12.8798
1856.4030	91.9795	12.7246
1868.7540	91.9750	12.5699
1881.1870	91.9712	12.4154
1893.7030	91.9679	12.2617
1906.3020	91.9654	12.1094
1918.9850	91.9635	11.9591
1931.7520	91.9624	11.8102
1944.6050	91.9622	11.6612
1957.5430	91.9627	11.5112
1970.5670	91.9640	11.3588
1983.6770	91.9661	11.2026
1996.8750	91.9688	11.0423
2010.1610	91.9721	10.8779
2023.5350	91.9759	10.7089
2036.9980	91.9801	10.5354
2050.5500	91.9847	10.3588
2064.1930	91.9896	10.1800
2077.9270	91.9949	9.9992
2091.7520	92.0005	9.8161
2105.6690	92.0063	9.6303
2119.6780	92.0125	9.4421
2133.7810	92.0187	9.2515
2147.9770	92.0252	9.0591
2162.2680	92.0316	8.8662
2176.6540	92.0381	8.6747
2191.1360	92.0446	8.4867
2205.7140	92.0509	8.2684
2220.3890	92.0541	8.1225
2235.1620	92.0605	8.5242
2250.0330	92.1029	8.8663
2265.0030	92.1462	8.4774
2280.0720	92.1770	7.7960
2295.2420	92.1919	7.1312
2310.5130	92.1966	7.0131
2325.8850	92.2253	6.8634
2341.3600	92.2424	5.9357
2356.9380	92.2276	4.9958
2372.6190	92.1976	5.0962
2388.4040	92.2056	5.8402
2404.2950	92.2404	6.2056
2420.2910	92.2857	5.9057
2436.3940	92.3125	5.6801
2452.6040	92.3583	5.9326
2468.9220	92.4236	5.9989
2485.3480	92.5000	5.2479
2501.8830	92.5450	4.1073
2518.5290	92.5811	2.9822
2535.2850	92.5930	1.4059
2552.1530	92.5655	-0.3307
2569.1330	92.4991	-1.2545
2586.2260	92.4436	-1.1556
2603.4330	92.4126	-0.7097
2620.7540	92.4091	-0.0231
2638.1910	92.4452	0.5077
2655.7430	92.5023	0.1443
2673.4120	92.5442	-1.2974
2691.1990	92.5388	-2.9308
2709.1040	92.5092	-3.7163
2727.1290	92.4943	-4.0963
2745.2730	92.4844	-4.8725
2763.5380	92.4641	-6.8586
2781.9240	92.3646	-8.9813
2800.4330	92.2432	-10.1663
2819.0650	92.1027	-11.4382
2837.8210	91.9181	-11.8144
2856.7010	91.7594	-10.4801
2875.7080	91.6601	-8.4085
2894.8400	91.6241	-6.2212
2914.1000	91.6506	-4.7679
2933.4880	91.6903	-3.8015
2953.0060	91.7665	-2.9465
2972.6530	91.8612	-2.9815
2992.4300	91.9433	-4.0213
3012.3400	91.9868	-5.5667
3032.3810	91.9930	-7.2416
3052.5560	91.9572	-9.1856
3072.8660	91.8620	-10.5916
3093.3100	91.7526	-10.3856
3113.8910	91.6848	-9.1352
3134.6080	91.6646	-8.0149
3155.4630	91.6699	-7.6386
3176.4570	91.6668	-6.7767
3197.5910	91.7257	-5.1935
3218.8650	91.8354	-5.0065
3240.2810	91.9184	-6.2724
3261.8390	91.9622	-7.4349
3283.5410	91.9998	-8.4714
3305.3870	92.0172	-10.7161
3327.3790	91.9466	-13.7332
3349.5160	91.7971	-15.6819
3371.8020	91.6218	-15.8768
3394.2350	91.4682	-14.3512
3416.8180	91.3846	-11.0852
3439.5500	91.4299	-7.6032
3462.4340	91.5584	-5.6248
3485.4710	91.7221	-5.4224
3508.6600	91.8671	-7.0201
3532.0040	91.9434	-9.6301
3555.5030	91.9460	-12.2202
3579.1590	91.8863	-14.1448
3602.9720	91.7925	-14.7267
3626.9430	91.7169	-13.7853
3651.0740	91.7004	-12.0257
3675.3660	91.7524	-10.7307
3699.8190	91.8330	-11.0745
3724.4340	91.8734	-12.1456
3749.2140	91.9002	-12.7035
3774.1580	91.9311	-13.7019
3799.2680	91.9172	-13.9529
3824.5460	91.9634	-13.7289
3849.9910	92.0046	-15.2672
3875.6060	91.9847	-17.4634
3901.3910	91.9178	-19.3885
3927.3480	91.8057	-20.7141
3953.4780	91.6757	-20.9088
3979.7810	91.5602	-18.3071
4006.2600	91.6117	-14.6664
4032.9140	91.7519	-13.7413
4059.7460	91.8810	-15.6012
4086.7560	91.9268	-18.9342
4113.9460	91.8773	-22.3114
4141.3170	91.7471	-24.6758
4168.8700	91.5846	-25.5291
4196.6070	91.4315	-25.1045
4224.5280	91.3193	-24.5022
4252.6350	91.2148	-24.3395
4280.9280	91.1090	-24.2171
4309.4100	90.9970	-23.3260
4338.0820	90.9245	-20.3453
4366.9440	90.9864	-16.8624
4395.9980	91.1261	-15.6163
4425.2460	91.2538	-15.5510
4454.6880	91.4010	-17.0405
4484.3260	91.4490	-20.2739
4514.1610	91.4042	-22.9668
4544.1950	91.2978	-23.2727
4574.4280	91.2581	-22.2450
4604.8630	91.2393	-21.9719
4635.5000	91.2243	-22.0268
4666.3410	91.2035	-21.5922
4697.3870	91.2193	-20.7235
4728.6400	91.2595	-20.2239
4760.1010	91.3118	-20.1934
4791.7710	91.3589	-19.9216
4823.6520	91.4418	-19.6309
4855.7440	91.5297	-20.2196
4888.0510	91.6007	-21.4551
4920.5720	91.6425	-23.4128
4953.3100	91.6234	-25.6088
4986.2650	91.5581	-27.0414
5019.4400	91.4790	-27.1990
5052.8350	91.4333	-26.4347
5086.4530	91.4308	-26.0405
5120.2940	91.4315	-26.3669
5154.3610	91.4244	-26.7036
5188.6540	91.4218	-26.7543
5223.1750	91.4336	-26.8326
5257.9260	91.4504	-27.3291
5292.9080	91.4560	-28.6337
5328.1230	91.4101	-29.5945
5363.5720	91.3751	-29.1236
5399.2570	91.3883	-28.2862
5435.1800	91.4395	-28.6160
5471.3410	91.4631	-30.4322
5507.7430	91.4282	-32.9816
5544.3870	91.3163	-35.1757
5581.2750	91.1605	-34.7370
5618.4090	91.0998	-32.3653
5655.7890	91.1211	-31.0852
5693.4190	91.1569	-31.3570
5731.2980	91.1719	-31.9141
5769.4300	91.1932	-33.2899
5807.8150	91.1411	-34.8826
5846.4560	91.0793	-34.9690
5885.3530	91.0493	-34.7685
5924.5100	91.0248	-34.8407
5963.9270	91.0116	-35.1400
6003.6060	90.9902	-35.9340
6043.5500	90.9464	-37.0250
6083.7590	90.8719	-37.6356
6124.2350	90.8042	-37.3896
6164.9810	90.7593	-36.6712
6205.9980	90.7478	-35.0731
6247.2880	90.8245	-34.6882
6288.8530	90.8562	-36.3386
6330.6940	90.8408	-37.8735
6372.8130	90.7970	-38.9294
6415.2130	90.7396	-39.5884
6457.8950	90.6767	-39.8732
6500.8610	90.6200	-39.7716
6544.1120	90.5786	-39.0736
6587.6520	90.5823	-38.2193
6631.4810	90.6147	-38.2981
6675.6020	90.6325	-39.6347
6720.0160	90.5959	-40.9586
6764.7260	90.5487	-41.2690
6809.7330	90.5188	-41.3469
6855.0390	90.4924	-41.9441
6900.6470	90.4436	-41.9945
6946.5590	90.4389	-42.2563
6992.7760	90.3979	-43.4445
7039.3000	90.3337	-43.8754
7086.1350	90.2871	-43.6378
7133.2800	90.2641	-44.1776
7180.7390	90.2020	-45.3641
7228.5140	90.1151	-45.8129
7276.6070	90.0361	-44.6463
7325.0200	90.0435	-43.4010
7373.7550	90.0667	-44.0925
7422.8140	90.0463	-46.6938
7472.2000	89.9101	-48.4768
7521.9140	89.7835	-47.6656
7571.9590	89.7147	-46.0150
7622.3370	89.7037	-44.4998
7673.0500	89.7416	-44.6324
7724.1010	89.7275	-46.1313
7775.4910	89.6724	-47.1981
7827.2230	89.5989	-47.4369
7879.2990	89.5396	-47.4884
7931.7220	89.4683	-47.4551
7984.4930	89.4098	-46.7113
8037.6160	89.3839	-45.3333
8091.0920	89.4136	-43.8850
8144.9240	89.4869	-43.8019
8199.1140	89.5309	-45.5288
8253.6640	89.5029	-48.7396
8308.5780	89.3389	-49.1736
8363.8570	89.2928	-46.8562
8419.5030	89.2969	-46.0409
8475.5200	89.3039	-46.2240
8531.9090	89.2930	-46.0046
8588.6740	89.3202	-46.1724
8645.8160	89.3064	-47.5888
8703.3390	89.2401	-47.6050
8761.2440	89.2323	-47.3128
8819.5350	89.1873	-47.0702
8878.2130	89.1901	-45.3348
8937.2820	89.2647	-44.8626
8996.7430	89.3000	-45.5382
9056.6010	89.3331	-46.1566
9116.8560	89.3390	-47.2465
9177.5130	89.3090	-47.9869
9238.5730	89.2715	-47.1558
9300.0390	89.3046	-45.6400
9361.9140	89.3770	-45.1298
9424.2010	89.4531	-45.9148
9486.9020	89.4854	-47.1929
9550.0210	89.4929	-47.9837
9613.5590	89.4929	-48.2999
9677.5200	89.4988	-48.0351
9741.9070	89.5362	-47.5669
9806.7220	89.5953	-47.7020
9871.9680	89.6483	-48.6367
9937.6490	89.6737	-50.2579
10003.7700	89.6478	-51.4658
10070.3200	89.6224	-51.4159
10137.3200	89.6320	-50.6795
10204.7700	89.6928	-52.0757
10272.6600	89.6373	-53.9603
10341.0100	89.5993	-54.1019
10409.8100	89.5692	-54.7597
10479.0700	89.5105	-54.3330
10548.7900	89.5362	-54.3892
10618.9700	89.4980	-55.9451
10689.6200	89.4330	-55.9297
10760.7400	89.4150	-55.1130
10832.3400	89.4231	-54.6608
