Freq	dB	Phase
20.0000	46.6429	167.3940
20.1912	46.8063	167.2634
20.3842	46.9717	167.1259
20.5790	47.1347	166.9756
20.7757	47.2982	166.8624
20.9743	47.4636	166.7181
21.1748	47.6257	166.5699
21.3772	47.7897	166.4605
21.5815	47.9550	166.3550
21.7878	48.1228	166.1787
21.9960	48.2838	166.0458
22.2063	48.4530	165.9205
22.4185	48.6168	165.7302
22.6328	48.7814	165.5856
22.8492	48.9470	165.3964
23.0676	49.1079	165.2516
23.2881	49.2752	165.1045
23.5107	49.4377	164.9131
23.7354	49.6016	164.7746
23.9622	49.7678	164.5914
24.1913	49.9303	164.3702
24.4225	50.0906	164.1894
24.6560	50.2524	164.0392
24.8916	50.4154	163.8888
25.1296	50.5796	163.7349
25.3698	50.7454	163.5162
25.6123	50.9055	163.2826
25.8571	51.0659	163.1044
26.1042	51.2274	162.9243
26.3537	51.3892	162.6892
26.6056	51.5455	162.4849
26.8599	51.7058	162.3207
27.1167	51.8656	162.0964
27.3759	52.0222	161.8744
27.6375	52.1783	161.7048
27.9017	52.3376	161.5293
28.1684	52.4961	161.2718
28.4377	52.6474	161.0635
28.7095	52.8041	160.8899
28.9839	52.9573	160.6797
29.2609	53.1106	160.5080
29.5406	53.2649	160.3479
29.8230	53.4203	160.1449
30.1080	53.5711	159.9483
30.3958	53.7233	159.8092
30.6864	53.8772	159.6556
30.9797	54.0298	159.5071
31.2758	54.1844	159.3542
31.5747	54.3367	159.1943
31.8765	54.4893	159.0994
32.1812	54.6468	158.9876
32.4888	54.8020	158.8475
32.7994	54.9586	158.7075
33.1129	55.1123	158.6208
33.4294	55.2731	158.5464
33.7489	55.4321	158.4352
34.0715	55.5935	158.3252
34.3972	55.7530	158.2566
34.7260	55.9200	158.1739
35.0579	56.0833	158.0465
35.3930	56.2486	157.9778
35.7313	56.4178	157.8931
36.0728	56.5870	157.8007
36.4176	56.7599	157.6927
36.7657	56.9319	157.5567
37.1171	57.1049	157.4478
37.4719	57.2813	157.3037
37.8301	57.4551	157.1806
38.1917	57.6362	157.0088
38.5567	57.8100	156.8205
38.9253	57.9904	156.6571
39.2973	58.1679	156.4480
39.6730	58.3475	156.2503
40.0522	58.5273	156.0051
40.4350	58.7047	155.7600
40.8215	58.8839	155.5082
41.2117	59.0613	155.2196
41.6056	59.2371	154.9452
42.0033	59.4141	154.6491
42.4048	59.5879	154.3275
42.8101	59.7607	154.0301
43.2193	59.9343	153.7031
43.6324	60.1038	153.3628
44.0495	60.2730	153.0523
44.4705	60.4423	152.7107
44.8956	60.6076	152.3691
45.3247	60.7732	152.0536
45.7579	60.9379	151.7169
46.1953	61.1003	151.3753
46.6368	61.2607	151.0687
47.0826	61.4225	150.7616
47.5327	61.5817	150.4562
47.9870	61.7416	150.1777
48.4457	61.9015	149.8748
48.9087	62.0581	149.6173
49.3762	62.2194	149.3603
49.8482	62.3762	149.1138
50.3247	62.5379	148.9053
50.8057	62.6987	148.6852
51.2913	62.8619	148.4751
51.7816	63.0247	148.2713
52.2765	63.1898	148.0830
52.7762	63.3554	147.9167
53.2807	63.5251	147.7652
53.7899	63.6966	147.6051
54.3041	63.8706	147.4443
54.8231	64.0462	147.2909
55.3472	64.2251	147.1366
55.8762	64.4054	146.9848
56.4103	64.5893	146.8595
56.9495	64.7782	146.7097
57.4938	64.9683	146.5187
58.0434	65.1591	146.3742
58.5982	65.3579	146.2029
59.1583	65.5550	146.0044
59.7237	65.7582	145.8097
60.2946	65.9617	145.6009
60.8709	66.1712	145.3726
61.4527	66.3807	145.1014
62.0401	66.5931	144.8249
62.6331	66.8071	144.5334
63.2318	67.0244	144.2174
63.8362	67.2425	143.8805
64.4464	67.4637	143.5494
65.0624	67.6895	143.1392
65.6843	67.9113	142.7216
66.3121	68.1401	142.2805
66.9460	68.3650	141.8093
67.5859	68.5961	141.3228
68.2319	68.8247	140.7893
68.8841	69.0570	140.2265
69.5425	69.2869	139.6332
70.2072	69.5199	139.0368
70.8783	69.7536	138.3700
71.5558	69.9855	137.6745
72.2397	70.2182	136.9870
72.9302	70.4537	136.2260
73.6273	70.6850	135.4125
74.3311	70.9164	134.6181
75.0416	71.1497	133.7748
75.7588	71.3811	132.8644
76.4830	71.6100	131.9418
77.2140	71.8396	130.9900
77.9521	72.0671	129.9974
78.6972	72.2944	128.9590
79.4494	72.5182	127.8755
80.2088	72.7403	126.7714
80.9755	72.9608	125.6147
81.7495	73.1772	124.4261
82.5308	73.3920	123.2116
83.3197	73.6037	121.9410
84.1161	73.8110	120.6471
84.9201	74.0162	119.3232
85.7318	74.2172	117.9436
86.5513	74.4133	116.5460
87.3786	74.6067	115.1152
88.2138	74.7949	113.6348
89.0570	74.9779	112.1372
89.9082	75.1572	110.6030
90.7676	75.3303	109.0327
91.6352	75.4986	107.4330
92.5111	75.6604	105.7980
93.3953	75.8158	104.1586
94.2880	75.9671	102.4860
95.1893	76.1106	100.7793
96.0991	76.2482	99.0624
97.0177	76.3791	97.3191
97.9450	76.5029	95.5668
98.8812	76.6209	93.7908
99.8264	76.7305	92.0008
100.7806	76.8339	90.2114
101.7439	76.9301	88.4080
102.7164	77.0194	86.5924
103.6982	77.1009	84.7726
104.6894	77.1756	82.9527
105.6900	77.2427	81.1277
106.7003	77.3024	79.3044
107.7202	77.3547	77.4883
108.7498	77.4000	75.6762
109.7893	77.4377	73.8699
110.8387	77.4684	72.0754
111.8981	77.4919	70.2904
112.9677	77.5082	68.5183
114.0475	77.5174	66.7617
115.1376	77.5197	65.0221
116.2381	77.5150	63.3014
117.3492	77.5035	61.6018
118.4708	77.4852	59.9252
119.6032	77.4604	58.2741
120.7465	77.4292	56.6494
121.9006	77.3916	55.0511
123.0658	77.3476	53.4875
124.2421	77.2981	51.9561
125.4296	77.2424	50.4549
126.6286	77.1811	48.9922
127.8389	77.1142	47.5746
129.0609	77.0428	46.1935
130.2945	76.9660	44.8497
131.5399	76.8844	43.5596
132.7972	76.7992	42.3105
134.0665	76.7092	41.1072
135.3480	76.6158	39.9646
136.6417	76.5197	38.8666
137.9478	76.4202	37.8168
139.2663	76.3182	36.8282
140.5975	76.2145	35.8937
141.9414	76.1092	35.0114
143.2981	76.0026	34.1845
144.6678	75.8953	33.4202
146.0506	75.7885	32.7067
147.4466	75.6812	32.0474
148.8560	75.5753	31.4484
150.2788	75.4705	30.8965
151.7152	75.3674	30.3979
153.1654	75.2664	29.9515
154.6294	75.1682	29.5495
156.1074	75.0726	29.1938
157.5996	74.9805	28.8857
159.1060	74.8923	28.6121
160.6268	74.8077	28.3721
162.1621	74.7273	28.1715
163.7121	74.6517	27.9956
165.2770	74.5800	27.8419
166.8567	74.5130	27.7130
168.4516	74.4506	27.6021
170.0618	74.3929	27.5024
171.6873	74.3393	27.4147
173.3283	74.2905	27.3348
174.9851	74.2456	27.2557
176.6577	74.2048	27.1799
178.3462	74.1677	27.1017
180.0509	74.1342	27.0193
181.7719	74.1040	26.9303
183.5094	74.0766	26.8325
185.2634	74.0518	26.7260
187.0343	74.0292	26.6109
